7,HFT,heat_flux1,84.91,21.83,18.98,2016-01-25 14:51:17.603
7,HFT,heat_flux1,90.18,24.77,24.46,2016-01-25 14:51:47.611
7,HFT,heat_flux1,72.35,20.06,18.08,2016-01-25 14:52:17.629
7,HFT,heat_flux1,86.77,18.92,24.53,2016-01-25 14:52:47.633
7,HFT,heat_flux1,94.75,17.04,24.62,2016-01-25 14:53:17.643
7,HFT,heat_flux1,94.68,19.68,21.10,2016-01-25 14:53:47.652
7,HFT,heat_flux1,70.45,17.79,15.75,2016-01-25 14:54:17.662
7,HFT,heat_flux1,77.66,20.34,15.83,2016-01-25 14:54:47.673
7,HFT,heat_flux1,73.99,21.64,15.93,2016-01-25 14:55:17.682
7,HFT,heat_flux1,71.94,18.30,22.67,2016-01-25 14:55:47.692
7,HFT,heat_flux1,79.77,17.17,24.00,2016-01-26 11:26:14.238
7,HFT,heat_flux1,88.79,18.17,20.16,2016-01-26 11:26:44.248
7,HFT,heat_flux1,97.08,24.03,21.57,2016-01-26 11:27:14.259
7,HFT,heat_flux1,95.57,24.96,24.55,2016-01-26 11:27:44.267
7,HFT,heat_flux1,97.42,20.92,16.54,2016-01-26 14:44:18.353
7,HFT,heat_flux1,77.80,22.96,21.97,2016-01-26 14:44:48.344
7,HFT,heat_flux1,86.43,22.81,19.14,2016-01-26 14:45:18.354
7,HFT,heat_flux1,90.11,23.68,17.75,2016-01-26 14:45:48.366
7,HFT,heat_flux1,97.66,20.86,21.92,2016-01-26 14:46:18.373
7,HFT,heat_flux1,83.95,18.85,17.81,2016-01-26 14:46:48.385
7,HFT,heat_flux1,74.25,20.04,16.15,2016-01-26 14:47:18.419
7,HFT,heat_flux1,99.08,20.50,15.59,2016-01-26 14:47:48.427
7,HFT,heat_flux1,83.17,16.57,15.30,2016-01-26 14:48:18.418
7,HFT,heat_flux1,70.22,20.99,24.52,2016-01-26 14:48:48.428
7,HFT,heat_flux1,76.48,21.87,21.33,2016-01-26 14:49:18.438
7,HFT,heat_flux1,72.76,23.00,15.16,2016-01-26 14:49:48.449
7,HFT,heat_flux1,97.86,24.14,20.86,2016-01-26 14:50:18.457
7,HFT,heat_flux1,88.07,17.49,15.73,2016-01-26 14:51:29.028
7,HFT,heat_flux1,78.78,24.23,22.09,2016-01-26 14:51:59.021
7,HFT,heat_flux1,88.07,17.49,15.73,2016-01-26 14:53:03.99
7,HFT,heat_flux1,88.07,17.49,15.73,2016-01-26 14:54:13.958
7,HFT,heat_flux1,78.78,24.23,22.09,2016-01-26 14:54:43.968
